spaceR,spaceL,weightR,weightL,timeR,timeL,flowR,flowL,Class
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,Ne
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,OE-
0,0,0,0,0,0,0,0,OE+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
0,0,0,0,0,0,0,0,NCA-
0,0,0,0,0,0,0,0,NCA+
