spaceR, spaceL, weightR, weightL, timeR, timeL, flowR, flowL, Class
1.1207,1.1311,0.0646,0.4384,0.0012,0.0119,0.0033,0.0078,Ne
1.0779,1.1301,0.1172,0.7445,0.0011,0.0029,0.0004,0.0017,OE-
1.0856,1.0761,0.8341,1.4998,0.0015,0.0083,0.0051,0.0074,OE+
1.1236,1.1162,0.4373,1.6170,0.0075,0.0152,0.0163,0.0203,NCA-
1.0875,1.1085,0.5395,2.3787,0.0036,0.0088,0.0102,0.0147,NCA+
1.1570,1.1690,0.1903,0.3169,0.0067,0.0046,0.0048,0.0089,OE-
1.0848,1.1006,0.3323,1.1522,0.0119,0.0141,0.0313,0.0438,OE+
1.1296,1.1542,1.2757,1.8558,0.0015,0.0077,0.0076,0.0075,NCA-
1.1310,1.0321,0.1911,0.5620,0.0022,0.0048,0.0067,0.0073,NCA+
1.1211,1.0999,0.1724,0.5673,0.0037,0.0035,0.0025,0.0026,NCA-
1.1786,1.1340,0.1559,0.6706,0.0026,0.0045,0.0036,0.0035,NCA+
1.1204,1.1190,0.5820,0.3973,0.0021,0.0019,0.0041,0.0032,Ne
1.1150,1.1297,0.3427,0.2002,0.0068,0.0067,0.0098,0.0073,OE-
1.0777,1.0784,1.0746,0.9914,0.0012,0.0017,0.0009,0.0004,OE+
1.1605,1.1635,0.4410,0.3188,0.0066,0.0122,0.0504,0.0302,NCA-
1.1044,1.1047,0.4729,0.5553,0.0022,0.0011,0.0017,0.0020,NCA+
1.1374,1.1756,0.1675,0.1539,0.0039,0.0027,0.0046,0.0071,OE-
1.1231,1.1119,0.4669,0.5304,0.0037,0.0029,0.0031,0.0070,OE+
1.1058,1.1105,0.7732,1.6625,0.0013,0.0017,0.0056,0.0064,NCA-
1.1235,1.1206,0.7302,0.2624,0.0005,0.0012,0.0052,0.0068,NCA+
1.1553,1.1241,0.3328,0.1461,0.0010,0.0023,0.0030,0.0042,NCA-
1.0871,1.0987,0.1254,0.1865,0.0017,0.0016,0.0051,0.0049,NCA+
1.1356,1.1641,0.3459,0.2279,0.0010,0.0008,0.0017,0.0018,Ne
1.1675,1.1573,0.8421,1.0057,0.0009,0.0013,0.0006,0.0020,OE-
1.0862,1.1044,0.2009,0.1863,0.0001,0.0014,0.0016,0.0016,OE+
1.1141,1.0865,0.7157,0.7407,0.0013,0.0009,0.0035,0.0027,NCA-
1.1097,1.1186,0.2669,0.5443,0.0008,0.0021,0.0012,0.0034,NCA+
1.0682,1.0747,0.4388,0.8161,0.0017,0.0012,0.0011,0.0013,OE-
1.1406,1.1440,1.3622,0.8095,0.0009,0.0007,0.0040,0.0038,OE+
1.1153,1.0851,0.6012,0.5634,0.0004,0.0004,0.0015,0.0024,NCA-
1.1238,1.1029,0.1819,0.1469,0.0004,0.0004,0.0005,0.0019,NCA+
1.0457,1.1104,0.1906,0.1434,0.0009,0.0003,0.0012,0.0012,NCA-
1.1061,1.1128,1.2676,0.9636,0.0013,0.0024,0.0042,0.0035,NCA+
1.1438,1.0365,0.1323,0.2988,0.0020,0.0011,0.0013,0.0019,Ne
1.1004,1.1325,0.1503,0.2041,0.0063,0.0100,0.0044,0.0181,OE-
1.2137,1.1554,0.1090,0.3026,0.0021,0.0018,0.0133,0.0015,OE+
1.0879,1.1584,0.5598,1.2616,0.0041,0.0055,0.0083,0.0090,NCA-
1.0987,1.1239,0.2452,0.3985,0.0006,0.0008,0.0006,0.0000,NCA+
1.1460,1.1266,0.1169,0.3797,0.0007,0.0148,0.0086,0.0154,OE-
1.1157,1.1424,1.9104,2.0065,0.0042,0.0049,0.0091,0.0220,OE+
1.0958,1.1035,0.1652,0.3811,0.0013,0.0018,0.0027,0.0076,NCA-
1.0999,1.1213,0.1457,0.4587,0.0003,0.0012,0.0024,0.0023,NCA+
1.1986,1.0299,0.2977,0.4174,0.0017,0.0035,0.0104,0.0101,NCA-
1.0687,1.1156,0.1689,0.1946,0.0024,0.0048,0.0059,0.0076,NCA+
1.1374,1.1459,2.1245,1.4856,0.0031,0.0036,0.0063,0.0064,Ne
1.1513,1.0390,2.2710,0.8051,0.0048,0.0034,0.0118,0.0103,OE-
1.1100,1.1011,2.1390,1.1315,0.0028,0.0021,0.0136,0.0147,OE+
1.0971,1.0738,1.0428,1.4312,0.0027,0.0016,0.0069,0.0117,NCA-
1.1462,1.1447,2.7626,1.3845,0.0124,0.0071,0.0113,0.0056,NCA+
1.1242,1.0948,0.6329,0.3825,0.0031,0.0036,0.0005,0.0028,OE-
1.1110,1.1485,2.0834,1.3837,0.0006,0.0004,0.0014,0.0010,OE+
1.0919,1.0996,2.9336,2.8430,0.0055,0.0051,0.0044,0.0065,NCA-
1.0846,1.0499,1.4030,1.3439,0.0043,0.0026,0.0143,0.0080,NCA+
1.1235,1.0938,1.4216,1.4422,0.0050,0.0056,0.0345,0.0188,NCA-
1.1195,1.1102,1.4080,1.1608,0.0057,0.0039,0.0054,0.0068,NCA+
