abdomenTwist,chestBend,headBend,lShoulderAbduct,rShoulderAbduct,lShoulderSwing,rShoulderSwing,lElbowBend,rElbowBend,Class
0,0,0,1,1,0,0,0,0,Ne
0,0,0,1,1,0,0,0,0,OE-
1,0,0,1,1,0,0,0,0,OE+
0,0,0,1,1,0,0,0,0,NCA-
0,0,0,1,0,0,0,0,1,NCA+
0,0,0,1,1,0,0,0,0,OE-
0,0,0,1,1,0,0,0,1,OE+
0,0,0,1,1,0,0,0,1,NCA-
0,0,0,1,1,0,0,0,1,NCA+
1,0,0,1,0,0,0,0,1,NCA-
0,0,0,1,1,0,0,0,0,NCA+
1,1,1,0,1,1,1,1,0,Ne
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,Ne
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,0,1,1,0,Ne
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,0,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,0,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,1,1,0,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
0,0,0,1,0,0,0,1,1,Ne
1,1,1,0,1,1,1,0,1,OE-
1,1,1,0,1,1,1,0,1,OE+
1,1,1,0,1,1,1,0,1,NCA-
0,0,0,1,0,0,0,1,0,NCA+
1,1,1,0,1,1,1,0,0,OE-
1,1,1,0,1,1,1,0,1,OE+
1,1,1,0,1,1,1,0,1,NCA-
1,1,1,0,1,1,1,0,1,NCA+
0,0,0,1,0,0,0,1,0,NCA-
0,0,0,1,0,0,0,1,0,NCA+
1,1,1,0,1,1,1,1,0,Ne
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,1,Ne
0,0,0,1,0,0,0,0,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,1,NCA+
1,1,1,0,1,1,1,1,1,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,1,NCA-
1,1,1,0,1,1,1,1,1,NCA+
1,1,1,0,1,1,1,1,0,Ne
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,OE-
1,1,1,0,1,1,1,1,0,OE+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,1,1,0,NCA-
1,1,1,0,1,1,1,1,0,NCA+
1,1,1,0,1,1,0,1,1,Ne
1,1,1,0,1,1,1,1,1,OE-
1,1,1,0,1,1,1,1,1,OE+
1,1,1,0,1,1,1,1,1,NCA-
1,1,1,0,1,1,1,1,1,NCA+
1,1,1,0,1,1,1,1,1,OE-
1,1,1,0,1,1,1,1,1,OE+
1,1,1,0,1,1,1,1,1,NCA-
1,1,1,0,1,1,1,1,1,NCA+
1,1,1,0,1,1,1,1,1,NCA-
1,1,1,0,1,1,1,1,1,NCA+
