abdomenTwist,chestBend,headBend,lShoulderAbduct,rShoulderAbduct,lShoulderSwing,rShoulderSwing,lElbowBend,rElbowBend,Class
8.5474,-25.1724,-24.6740,45.0121,1.6087,-27.3939,-2.6697,-12.8378,31.7870,Ne
-24.5853,-41.3214,-41.8841,4.0244,-2.6430,-0.3387,-7.0648,-4.5651,5.0031,OE-
-24.4908,-41.9380,-42.2256,2.6916,-1.1902,-0.9727,-5.6569,-3.5435,3.4615,OE+
-25.0426,-41.9008,-41.6003,-0.6871,0.9076,-0.5085,-4.5304,-4.7594,7.5738,NCA-
-25.0808,-41.6542,-41.7017,1.9948,-0.7632,-2.1765,-4.2851,-5.7528,6.1691,NCA+
-24.7977,-40.8741,-41.0148,2.4755,-2.2006,1.8740,-2.0636,-3.1249,4.0505,OE-
-25.2422,-41.7633,-41.4265,1.6483,-2.5824,-0.9419,-7.2591,-2.8097,2.9958,OE+
-25.8840,-43.0571,-41.3504,-3.3628,0.8883,-3.5925,-8.1725,-5.6015,6.7752,NCA-
-24.5777,-40.9279,-42.3116,4.3886,-3.2801,1.3877,-4.4539,-5.0660,5.7888,NCA+
-24.5520,-40.7387,-40.8088,1.2152,-2.7763,0.9364,-5.2926,-4.9479,3.9817,NCA-
-24.4621,-40.1261,-40.8073,8.0845,-4.2148,1.2660,-4.4183,-4.2599,4.3334,NCA+
24.9735,40.7208,41.8953,-2.5221,2.7082,-2.2960,4.1313,5.6420,-5.4985,Ne
24.6691,41.5148,43.9816,-2.7990,1.1670,0.9909,4.2227,6.4155,-6.1129,OE-
25.0267,40.4911,41.6723,-4.5191,4.9093,-0.4723,4.3868,3.3339,-2.6408,OE+
25.2767,40.6762,41.0046,0.8252,-1.4464,0.6259,-0.0290,3.8039,-4.8764,NCA-
24.7246,40.7411,41.3165,-1.6566,-0.2907,-4.1513,-3.0392,2.3106,-2.3244,NCA+
25.4668,40.4102,41.7298,-3.2788,4.4709,-3.5724,3.4690,3.8070,-3.8870,OE-
25.1970,40.4420,41.2303,-1.1144,2.4791,-2.2075,4.4785,1.1537,-1.2057,OE+
25.0026,40.5140,41.8316,-3.8127,1.7617,-2.2255,2.0012,2.3908,-4.1822,NCA-
24.7506,41.5235,41.0036,-2.0867,1.9119,-0.8060,3.3200,1.9196,-3.1087,NCA+
25.7367,38.8372,38.9973,0.7198,0.0001,-5.5325,-1.7935,4.9085,-6.4507,NCA-
25.1404,40.4319,40.9302,-3.0344,4.3296,-3.5604,2.6686,3.8736,-2.1892,NCA+
25.3058,41.6082,42.5531,-2.8838,3.2953,2.0671,6.7722,3.3370,-4.6253,Ne
25.1733,41.7948,41.9505,-4.4062,3.5470,0.9841,6.4534,3.8080,-4.7469,OE-
24.8599,40.9142,41.7720,-1.8042,0.8079,-1.9241,1.0897,3.7185,-4.7038,OE+
25.2755,41.8149,42.7146,-1.3333,0.5768,-0.3927,4.2762,4.0729,-5.9084,NCA-
25.5492,41.1387,42.1862,-1.7074,2.8501,-1.0866,2.8155,0.5966,-1.0969,NCA+
24.9374,41.0764,40.3334,-1.3039,0.3222,-2.4866,2.9996,3.9004,-2.1433,OE-
25.6653,40.5684,41.7323,-1.4668,1.0656,-1.2739,2.0926,3.1278,-3.6554,OE+
25.1431,39.9005,42.2486,-2.0958,1.2850,-4.2000,1.4289,2.4087,-0.8199,NCA-
25.2241,39.8606,40.9952,-2.5799,1.0140,-3.8555,2.0293,1.4636,-1.6007,NCA+
25.7095,41.1891,41.0640,-3.0052,3.9654,1.1133,4.5820,6.0585,-4.2567,NCA-
25.4808,40.7885,41.8024,-1.7904,0.7747,-1.3670,4.0565,2.2795,-1.5126,NCA+
24.0995,41.2761,41.9727,-6.1977,0.9061,0.1610,2.0458,4.2384,-6.1075,Ne
24.4456,41.6110,41.8271,-2.8782,2.0968,1.6734,5.4148,8.6056,-10.8120,OE-
24.9233,40.9835,41.6712,-3.4375,2.3487,-2.0184,2.1560,3.4720,-7.0154,OE+
24.4505,40.6624,42.7753,-3.9760,3.5750,0.8820,5.6158,6.3028,-8.1878,NCA-
25.0695,40.7829,41.9959,-2.6792,0.8540,-0.4089,3.9711,3.0675,-6.4135,NCA+
25.4471,41.5855,41.7086,-1.6572,1.1046,0.2588,3.4358,8.8716,-10.4614,OE-
25.2609,41.1802,41.7049,-1.2111,0.4772,-0.4880,5.5232,1.5696,-3.2354,OE+
25.7179,40.9017,43.0224,-0.3342,0.4620,-1.4912,2.1101,4.6157,-7.4196,NCA-
24.6126,40.8422,42.9639,-3.0177,0.2560,-2.2755,2.1123,3.3483,-4.4159,NCA+
24.9495,41.3151,41.3789,-0.8216,0.6511,-0.2138,3.5119,4.6090,-7.4938,NCA-
24.6167,41.2450,41.6939,-1.0605,-0.3418,-1.4810,1.9423,3.7038,-5.6838,NCA+
-24.5016,-41.0075,-41.9427,4.6683,-1.3313,0.8512,-2.8291,-4.5927,6.8927,Ne
24.6723,41.1222,41.4617,-3.9838,2.9499,2.3997,4.0542,4.2776,-4.5384,OE-
24.7975,41.8797,42.1787,-1.7076,-1.1365,1.5369,5.2912,7.8365,-10.7446,OE+
25.3221,41.5035,41.9306,-1.2990,0.6934,-0.4236,4.0166,4.8010,-5.4175,NCA-
-24.7824,-40.8379,-42.6121,5.2969,-4.2983,-2.2376,-5.5914,-4.4690,6.1586,NCA+
24.9541,41.4346,40.8835,-2.6770,2.4408,-0.7039,4.0605,3.8182,-3.9004,OE-
24.3869,41.2521,42.0476,-2.7323,1.3008,-2.5399,3.2116,4.9498,-7.0263,OE+
24.2445,40.4525,43.3961,-2.7200,1.5143,-2.7852,0.0694,3.1473,-3.5137,NCA-
24.3268,40.8455,41.2497,-3.1817,1.2687,-1.9587,2.8620,2.3107,-3.5071,NCA+
-25.4072,-41.6242,-41.6849,-0.1548,-0.2694,1.5018,-0.8219,-3.0600,3.6075,NCA-
-24.4055,-40.6980,-42.8897,2.0085,0.6913,1.5264,-2.7711,-1.8383,2.4298,NCA+
24.8109,42.0581,42.2100,-2.1830,2.6835,1.0499,5.9968,6.3983,-8.6911,Ne
25.3776,46.1914,47.3818,-15.2786,26.4987,11.9389,27.1637,28.9000,-20.4814,OE-
24.9925,44.9371,45.9253,-14.0628,21.3535,13.0822,27.4643,26.8534,-19.9520,OE+
24.8047,41.4769,42.4918,-2.5277,1.5680,-0.2614,4.0247,8.0311,-8.3786,NCA-
25.3101,41.6336,40.6597,-1.4370,2.3907,0.7449,7.8055,2.4963,-3.5447,NCA+
25.4160,41.5047,42.1725,-1.5807,2.4563,0.1214,6.5659,10.0812,-9.9783,OE-
24.5324,43.1101,42.4178,1.5178,1.1636,3.5504,9.5958,14.3388,-15.2302,OE+
24.6099,40.5881,42.1356,-3.3130,2.1581,-1.2269,3.4632,5.3484,-1.0336,NCA-
24.2828,41.6022,42.0019,-2.7100,-0.5756,0.6793,2.1400,4.7424,-5.7780,NCA+
24.3866,42.2469,42.6386,-26.6823,34.6612,11.0981,27.3940,25.1835,-11.9225,NCA-
25.5287,40.0828,41.5589,-2.3068,1.4306,-3.4539,0.9363,2.5567,-3.2110,NCA+
23.4767,40.8528,42.0535,-10.6482,7.1393,3.5986,8.2421,12.0822,-10.9772,Ne
-24.6344,-41.0529,-41.3894,2.0375,-1.1544,0.0331,-4.7442,-2.3577,3.6397,OE-
24.3639,41.3243,42.4177,-3.5977,5.3933,0.5415,6.5285,4.9328,-4.2650,OE+
25.0735,41.2194,42.4205,-5.7816,6.5262,1.0056,8.5847,10.1852,-8.5186,NCA-
25.0837,40.8542,42.5527,-2.2773,-0.9468,0.6965,2.8823,4.1150,-5.1231,NCA+
23.7740,40.6770,42.4869,-5.5273,2.3236,-0.7723,4.8898,3.5328,-4.4994,OE-
25.4868,41.8356,41.1102,-1.4276,3.0496,3.6690,6.9691,1.9459,-1.1457,OE+
24.5248,40.8942,41.5854,-4.0680,1.5130,-1.5290,5.1210,4.2560,-4.0127,NCA-
25.1025,40.3589,41.7463,-0.3713,2.4619,-2.8039,1.2221,3.0908,-1.4966,NCA+
