userId	driveInd	speed	v0	v1	ti	texp	tval	t0	t1	hr	hf	squash	wb	wx	wt	wf	et	ef	d	tr	tf	encSpr0	sinRis0	retAdv0	encSpr1	sinRis1	retAdv1	continuity	bias	armLX	armLY	armLZ	armRX	armRY	armRZ	
susand948	0	0.842976	0	0	0.5	1	0	0.01	0.99	0.181175	2.62664	0.339714	0.137	-0.36533	0.12	0.605301	0.0401428	0.0839832	0	0.338109	1.23782	0	0.143353	0.532951	0.389685	1	0.266476	-0.43553	0	0	0	0	0	0	0	
susand948	1	7	0.00097358	0	0.5	1	-0.217765	0	0.99	0.231577	1.89636	0.353181	-0.133773	-0.227794	0.112722	0.363495	0.0710602	0.77937	0.0947851	0.249054	0.788077	0.0945561	-0.0573068	-0.77937	-0.60745	1	-0.647564	0	0	0	0	0	0	0	0	
susand948	2	0.930115	0.31	0	0.5	1	0	0.0730373	0.99	0.331863	1.97897	0.268768	0.372493	0	0	0	0.07	0.21	0.08	0.417651	1.19068	1	-0.753582	0.567335	0.0744991	-1	0.578797	-0.595989	0	0	0	0	-0.0974212	0	0	
susand948	3	5.97173	0.369628	0	0.5	1.17479	-0.135612	0.0558452	0.99	0.209169	0.733524	0.7851	0.137	-0.842407	0.0286533	0.183381	0.0664757	0.372493	0.10086	0.363897	1.2722	0.555874	-1	-0.593123	0.555874	-1	-0.587393	0	0	0	0	0	0	0	0	
susand948	4	1.27106	0	0	0.611748	1	0	0.01	0.99	0	0	0	0.137	0.3	0	0	0	0	0	0	0	0.0401148	-0.297994	0.25788	-0.604585	1	0.315186	-0.813754	0	-0.309456	0	0	0	0	0	
susand948	5	2.99166	0.215387	0	0.111748	1.11748	0	0.044384	0.99	0	0	0.909999	-0.0650057	-0.545845	0	0	0	0	0	0	0	-0.481376	0.223582	0.0916902	-0.899714	1	0.389685	0.389685	0	0	0	0	0	0	0	
susand948	6	1.16	0	0	0.5	1	0	0.01	1	0	0	0	0.399178	0	0	0	0	0	0	0	0	-0.690544	-1	1	-0.759312	-1	0.432665	-0.504298	0	0.131805	0.0859599	0	0	0	0	
susand948	7	5	0	0	0.743553	0.684814	0	0.0980041	0.99	0	0	0	-0.000535822	-0.545845	0	0	0	0	0	0	0	-0.690544	-0.323782	-0.0200573	-0.696275	-1	-0.501433	-0.527221	0	0.0630372	0.361032	0	0	0	0	
susand948	8	2	0	0.361032	0.37	1	-0.756447	0.01	0.8249	0.28	1.43814	0.53	0.137	0.3	0.4	2	0.4	2	0.4	0.416132	0.78	0.538682	0.76	0	1	1	0	0	0	-1	0	0	-0.458453	0	0	
susand948	9	2	0	0	0.600286	1	0	0.01	0.99	0.272206	1.19198	0.588997	0.137	0	0	0	0	0	0	0.355301	0.95129	-0.424069	0.383954	0	1	1	0	0	0	0.206304	-0.527221	0	0	0	0	
