Parameter	Intercept	Space	Weight	Time	Flow
Speed	2.877	-0.053	-0.096	2.026	0.215
v0	0.062	0.001	0.064	-0.006	0.016
v1	0.152	0.022	-0.004	-0.022	-0.202
t0	0.018	0.005	0.005	0.006	0
t1	0.938	-0.001	0.012	-0.010	0.070
ti	0.503	0.007	0.018	-0.028	0.043
texp	0.937	-0.022	0.020	-0.034	0
tval	-0.055	0.016	0.031	-0.011	0.107
continuity	-0.035	-0.010	-0.053	0.140	-0.234
tr	0.224	-0.130	0.020	0.031	-0.048
tf	0.887	-0.261	0.228	-0.162	-0.578
hr	0.156	-0.126	0.011	-0.027	-0.019
hf	0.785	-0.722	-0.001	-0.144	-0.071
squash	0.469	-0.044	-0.015	0.029	-0.333
wb	0.017	-0.015	0.019	-0.019	0.029
wx	-0.251	0.046	0.003	-0.126	0.034
wt	0.105	-0.056	-0.048	-0.005	-0.098
wf	0.512	-0.292	-0.165	-0.045	-0.565
et	0.136	-0.047	-0.027	0.005	-0.102
ef	0.715	-0.036	-0.074	0.003	-0.729
d	0.180	-0.020	0.008	-0.009	-0.168
encSpr0	0.292	-0.400	0.084	-0.192	-0.402
sinRis0	-0.244	0.063	-0.393	-0.036	-0.043
retAdv0	-0.038	0.022	-0.016	-0.226	-0.128
encSpr1	0.212	-0.462	0.086	-0.159	-0.446
sinRis1	0.015	0.011	-0.984	-0.032	-0.007
retAdv1	-0.051	-0.005	-0.155	-0.238	0.060
armLX	-0.387	0.023	0.029	0.009	0.396
armLY	-0.012	0.009	0.024	-0.006	0.011
armLZ	-0.013	0.013	0	0.015	0.024
armRX	-0.244	0.068	-0.023	-0.001	0.242
armRY	-0.022	-0.039	0.041	-0.003	0.036
armRZ	0.013	0.010	0.014	-0.007	-0.017
